id	time	y	ytype
111	17	0	1
111	24	0	1
111	32	0	1
111	39	0	1
111	45	8.2	1
111	52	9.9	1
111	62	15.2	1
111	67	15	1
111	73	9.9	1
111	80	19.6	1
111	87	21.1	1
111	95	16.8	1
111	102	22	1
111	108	26.9	1
111	115	25	1
111	119	43.5	1
111	124	54	1
112	17	0	1
112	24	0	1
112	32	0	1
112	39	0	1
112	45	0	1
112	52	0	1
112	62	0	1
112	67	0	1
112	73	0	1
112	80	4.6	1
112	87	6.1	1
112	95	6.6	1
112	102	9.2	1
112	108	17.7	1
112	115	33.9	1
112	119	68.9	1
112	124	79.6	1
113	17	0	1
113	24	0	1
113	32	0	1
113	39	0	1
113	45	0	1
113	52	0	1
113	62	6.6	1
113	67	10.3	1
113	73	13	1
113	80	21.4	1
113	87	29.6	1
113	95	61.5	1
113	102	74.8	1
113	108	100.5	1
113	115	141.3	1
113	119	187.9	1
113	124	196.8	1
114	17	0	1
114	24	0	1
114	32	0	1
114	39	0	1
114	45	0	1
114	52	0	1
114	62	4	1
114	67	5.1	1
114	73	5.6	1
114	80	7.2	1
114	87	8.8	1
114	95	11.1	1
114	102	20.4	1
114	108	25	1
114	115	47.7	1
114	119	83.9	1
114	124	91.8	1
115	17	0	1
115	24	0	1
115	32	0	1
115	39	0	1
115	45	0	1
115	52	0	1
115	62	5.3	1
115	67	8	1
115	73	7.2	1
115	80	8.5	1
115	87	9.9	1
115	95	9.9	1
115	102	14.1	1
115	108	16.5	1
115	115	25.8	1
115	119	38.5	1
115	124	40.8	1
121	17	0	3
121	24	0	3
121	32	0	3
121	39	0	3
121	45	0	3
121	52	4.8	3
121	62	5.1	3
121	67	5.1	3
121	73	8.8	3
121	80	10.1	3
121	87	7.8	3
121	95	8.5	3
121	102	9.2	3
121	108	11	3
121	115	12.7	3
121	123	14.08	3
121	130	14.8	3
121	137	16.8	3
121	144	18.2	3
121	151	35.8	3
121	158	21.7	3
122	17	0	3
122	24	0	3
122	32	0	3
122	39	0	3
122	45	0	3
122	52	0	3
122	62	0	3
122	67	0	3
122	73	0	3
122	80	5.3	3
122	87	7.5	3
122	95	7.8	3
122	102	10.1	3
122	108	12.3	3
122	115	13.9	3
122	123	12.38	3
122	130	11	3
122	137	14.9	3
122	144	19.8	3
122	151	24.4	3
122	158	31.5	3
123	17	0	3
123	24	0	3
123	32	0	3
123	39	0	3
123	45	0	3
123	52	0	3
123	62	0	3
123	67	0	3
123	73	0	3
123	80	12.7	3
123	87	11.7	3
123	95	12.6	3
123	102	14.8	3
123	108	16.7	3
123	115	24.1	3
123	123	24.12	3
123	130	25.7	3
123	137	25.7	3
123	144	30.2	3
123	151	39.3	3
123	158	67.4	3
124	17	0	3
124	24	0	3
124	32	0	3
124	39	0	3
124	45	0	3
124	52	0	3
124	62	0	3
124	67	0	3
124	73	0	3
124	80	4.2	3
124	87	7.8	3
124	95	9.8	3
124	102	13.9	3
124	108	14.4	3
124	115	9.2	3
124	123	10.61	3
124	130	12.6	3
124	137	12.6	3
124	144	12.6	3
124	151	30.1	3
124	158	17.6	3
125	17	0	3
125	24	0	3
125	32	0	3
125	39	0	3
125	45	0	3
125	52	0	3
125	62	0	3
125	67	0	3
125	73	0	3
125	80	0	3
125	87	4.4	3
125	95	5.1	3
125	102	5.8	3
125	108	6.1	3
125	115	6.9	3
125	123	9.14	3
125	130	6.9	3
125	137	9.2	3
125	144	10.6	3
125	151	23.1	3
125	158	26.6	3
131	17	0	4
131	24	0	4
131	32	0	4
131	39	0	4
131	45	0	4
131	52	0	4
131	62	6.1	4
131	67	6.6	4
131	73	13.5	4
131	80	31.8	4
131	87	79.8	4
131	95	205.1	4
131	102	394.2	4
131	108	601.8	4
131	115	899.7	4
131	119	899.7	4
131	119	0.6	2
132	17	0	4
132	24	0	4
132	32	0	4
132	39	0	4
132	45	0	4
132	52	0	4
132	62	2.9	4
132	67	6.4	4
132	73	6.3	4
132	80	9.9	4
132	87	18.8	4
132	95	42.6	4
132	102	98.5	4
132	108	174.4	4
132	115	229.3	4
132	119	264.3	4
132	119	0.6	2
133	17	0	4
133	24	0	4
133	32	0	4
133	39	0	4
133	45	0	4
133	52	0	4
133	62	7.2	4
133	67	7.2	4
133	73	7.5	4
133	80	6.9	4
133	87	8.5	4
133	95	8.8	4
133	102	11.1	4
133	108	15.5	4
133	115	30.2	4
133	119	30.2	4
133	119	0.6	2
134	17	0	4
134	24	0	4
134	32	0	4
134	39	0	4
134	45	0	4
134	52	5.8	4
134	62	21.2	4
134	67	23.1	4
134	73	25	4
134	80	64.2	4
134	87	123.2	4
134	95	99.4	4
134	102	144.5	4
134	108	197.8	4
134	115	204.5	4
134	119	204.5	4
134	119	0.6	2
135	17	0	4
135	24	0	4
135	32	0	4
135	39	0	4
135	45	5.8	4
135	52	6.6	4
135	62	9.6	4
135	67	8.5	4
135	73	9.6	4
135	80	20.4	4
135	87	50.2	4
135	95	96.8	4
135	102	158.6	4
135	108	173.8	4
135	115	102.1	4
135	119	122.5	4
135	119	0.6	2
