rep,id,k2,alpha2,d3,alpha3
1,211,0.174018,12.4924,142.849,5.16354e-06
2,211,0.171433,10.243,320.183,2.79121e-08
3,211,0.17499,12.3164,155.962,0.00352607
4,211,0.173264,12.9998,110.159,4.6072e-08
5,211,0.151859,11.1466,94.1307,0
6,211,0.168176,13.6056,110.267,7.52759e-12
7,211,0.140383,13.5003,44.6163,7.79379e-08
8,211,0.17199,12.3762,53.1716,1.15479
9,211,0.172846,15.1835,65.1612,7.12147e-10
10,211,0.129889,13.6966,30.8819,2.78428e-11
1,212,0.206429,21.9679,33.0271,6.79502e-11
2,212,0.120637,14.7154,17.5637,1.61768e-07
3,212,0.158099,16.3119,29.7209,1.57524e-06
4,212,0.125553,13.3533,23.2483,4.21244e-05
5,212,0.165529,13.3079,50.3931,2.15485e-09
6,212,0.215065,11.4876,31.6522,56.6302
7,212,0.170026,13.1195,72.5894,0.00363243
8,212,0.21103,13.3171,25.373,11.5344
9,212,0.102479,12.7395,13.1032,4.25762e-15
10,212,0.129015,14.0028,23.8961,3.86016e-16
1,213,0.189292,10.2048,104.192,2.89225e-06
2,213,0.206376,10.5219,208.643,2.51075e-13
3,213,0.156763,13.2368,21.9307,4.60297e-06
4,213,0.264001,15.2413,144.688,3.78425e-06
5,213,0.242662,12.9091,151.654,0.00269627
6,213,0.220047,11.1435,233.712,0.000262522
7,213,0.271587,15.3091,201.098,2.82386e-08
8,213,0.318307,15.8269,586.159,0.000444979
9,213,0.269791,15.2696,206.979,1.3159e-06
10,213,0.196174,9.0627,248.255,6.62667e-07
1,214,0.106173,11.8976,90.9342,3.62658e-05
2,214,0.135904,12.8682,156.812,0.00140406
3,214,0.143803,14.1476,110.959,2.57301e-11
4,214,0.136298,12.7119,154.112,0.000150124
5,214,0.154833,13.8349,234.206,1.09142e-07
6,214,0.161676,14.8103,190.399,0.0131121
7,214,0.127509,13.811,115.801,7.67548e-13
8,214,0.127942,12.6896,161.313,4.50605e-08
9,214,0.107048,13.0016,73.8273,3.13818e-16
10,214,0.105927,11.4134,92.8849,0
1,215,0.199508,14.3709,173.312,1.85819e-11
2,215,0.210575,14.2979,299.419,4.71608e-09
3,215,0.189416,12.9371,247.144,1.48968e-07
4,215,0.265713,18.3045,397.35,0.00185379
5,215,0.188375,12.2264,236.325,1.96671e-05
6,215,0.19592,11.903,688.043,2.56969e-07
7,215,0.176693,13.1684,131.228,1.44814e-09
8,215,0.244774,16.4926,558.708,7.15471e-05
9,215,0.178946,12.7861,157.335,1.32784e-08
10,215,0.194589,13.4423,162.656,6.60837e-06
1,221,0.0998631,14.1128,20.6,0.0711955
2,221,0.066655,12.2532,11.0572,2.27111e-13
3,221,0.126338,13.2001,22.0325,2.19712
4,221,0.255573,11.8749,102.773,281.42
5,221,0.075421,19.8688,7.33015,1.4166e-11
6,221,0.172777,14.258,28.8975,4.96301
7,221,0.149191,14.1712,28.4334,2.19712
8,221,0.198963,13.7031,32.7652,16.2255
9,221,0.0607391,9.13078,14.0614,3.08087e-14
10,221,0.156037,14.4413,32.0108,2.15528
1,222,0.149273,12.4646,63.1785,5630
2,222,0.113569,10.4956,52.9365,102.668
3,222,0.120743,16.4312,27.1488,493.052
4,222,0.132098,16.3686,43.006,7.49771
5,222,0.0751008,13.1443,20.618,41.292
6,222,0.106958,12.6735,41.6509,532325
7,222,0.104161,12.7936,26.8216,508.02
8,222,0.090254,11.5019,29.5303,5025.52
9,222,0.061029,12.046,14.8502,2015.6
10,222,0.162154,14.9365,52.0677,8.89351e+10
1,223,0.102043,11.63,95.1803,3.22294e-15
2,223,0.0988165,14.4037,20.5216,0.64044
3,223,0.0955343,13.7252,34.3608,2.63327e-11
4,223,0.100355,13.4413,40.234,7.67649e-08
5,223,0.106606,16.6171,30.536,2.06522e-10
6,223,0.0875242,12.9354,34.0761,3.58951e-07
7,223,0.0942435,12.7756,41.8302,2.50593e-07
8,223,0.0862906,13.5991,25.7412,0.0828034
9,223,0.120434,22.0432,23.4849,1.09349e-07
10,223,0.095142,16.7348,21.9522,9.14498e-12
1,224,0.246754,16.6166,11.6318,217.732
2,224,0.149998,10.6531,9.03626,514.765
3,224,0.257987,15.5755,17.3301,3371.5
4,224,0.23364,10.6355,36.9989,1549.25
5,224,0.225297,18.4991,9.19288,123.176
6,224,0.159014,11.3708,10.6899,1396.71
7,224,0.238775,11.0068,35.3846,432.869
8,224,0.204073,11.6968,18.3534,20568.4
9,224,0.154417,11.4843,11.0125,48.7274
10,224,0.24606,13.1509,22.9679,6.39828e+11
1,225,0.0852844,15.8432,14.2033,9.67267e-14
2,225,0.0883279,12.3627,18.5408,0.266194
3,225,0.081218,14.512,15.8226,1.26588e-09
4,225,0.0911759,16.8959,12.7862,9.02104e-05
5,225,0.101287,18.9748,15.0559,3.64513e-10
6,225,0.0844012,10.4535,27.2182,1.27666e-05
7,225,0.0721293,11.2798,13.7537,0.275035
8,225,0.0879878,14.9646,16.524,5.55336e-06
9,225,0.0796891,15.1776,13.1476,9.41716e-06
10,225,0.0764179,13.3662,15.4766,0.0186839
1,231,0.160496,11.9848,46.9642,2.00265e-12
2,231,0.167443,12.6379,36.3569,8.40719e-09
3,231,0.19025,12.91,112.959,0
4,231,0.134938,9.78671,36.6811,1.96351e-10
5,231,0.213931,15.6581,70.6201,0
6,231,0.21426,14.6958,84.3638,0.131904
7,231,0.192027,14.3945,119.232,1.52574e-10
8,231,0.196838,14.2262,926.058,7.40195e-08
9,231,0.181901,14.3318,57.3161,7.77612e-06
10,231,0.222822,16.9308,93.1375,1.87119e-06
1,232,0.138157,13.1716,9.52401,3118.59
2,232,0.121863,10.6509,11.673,1.84469e+14
3,232,0.144868,13.9234,10.172,16.0539
4,232,0.101974,15.6796,4.05988,7.17893
5,232,0.197551,13.0662,25.2418,1764.12
6,232,0.105593,14.9822,4.58213,3.67496e+09
7,232,0.20451,11.9447,60.8975,5.58724
8,232,0.197845,14.2431,16.4814,554.038
9,232,0.100644,11.4185,19.0591,0.281666
10,232,0.125316,10.5943,11.0822,2.81367e+06
1,233,0.209565,11.6989,51.7362,2.19631e-05
2,233,0.228378,12.7022,146.039,8.01842e-09
3,233,0.215879,10.2704,152.356,0.103598
4,233,0.235808,15.2757,17.9183,0.00127713
5,233,0.228597,12.784,58.8198,0.000411598
6,233,0.253871,15.035,27.8179,6.26295e-11
7,233,0.200305,11.9847,22.7418,4.87987e-07
