rep,id,eta_k2,eta_alpha2,eta_d3,eta_alpha3
1,211,0.104177,-0.0372866,1.06678,-2.26278
2,211,0.0892092,-0.235812,1.87388,-7.48309
3,211,0.109745,-0.0514696,1.1546,4.26354
4,211,0.0998324,0.0025325,0.80691,-6.98195
5,211,-0.0320317,-0.151272,0.649674,-38.5155
6,211,0.0700288,0.0480812,0.807898,-15.7013
7,211,-0.110606,0.040312,-0.0969116,-6.45624
8,211,0.0924513,-0.046628,0.0785139,10.055
9,211,0.0974211,0.157806,0.281853,-11.1516
10,211,-0.188299,0.0547453,-0.464841,-14.3933
1,212,0.274973,0.527181,-0.397682,-13.5011
2,212,-0.262194,0.126492,-1.02917,-5.72599
3,212,0.00823762,0.229491,-0.503161,-3.44999
4,212,-0.222252,0.0293598,-0.748777,-0.163773
5,212,0.0541641,0.0259529,0.0248429,-10.0444
6,212,0.315958,-0.121136,-0.440205,13.9477
7,212,0.0809701,0.0116946,0.389809,4.29326
8,212,0.29702,0.0266465,-0.661325,12.3564
9,212,-0.425325,-0.017696,-1.32216,-23.179
10,212,-0.195051,0.0768523,-0.721295,-25.5795
1,213,0.188306,-0.23955,0.751223,-2.84236
2,213,0.274718,-0.208944,1.44561,-19.1019
3,213,-0.000245704,0.0205936,-0.807121,-2.3777
4,213,0.520972,0.161603,1.07957,-2.57355
5,213,0.436687,-0.00446946,1.12659,3.99522
6,213,0.338857,-0.151544,1.55908,1.66594
7,213,0.549299,0.166046,1.40878,-7.47147
8,213,0.708032,0.19931,2.47858,2.19363
9,213,0.542666,0.163461,1.43761,-3.62988
10,213,0.224018,-0.358236,1.61945,-4.31588
1,214,-0.389909,-0.0860685,0.615125,-0.313525
2,214,-0.143037,-0.00764592,1.16004,3.34272
3,214,-0.0865388,0.0871436,0.814151,-14.4722
4,214,-0.140142,-0.0198633,1.14267,1.10706
5,214,-0.0126343,0.0647887,1.56119,-6.11951
6,214,0.0306128,0.132916,1.35411,5.57689
7,214,-0.206798,0.0630646,0.85686,-17.9845
8,214,-0.203408,-0.021623,1.18834,-7.00415
9,214,-0.381707,0.00267139,0.406717,-25.7866
10,214,-0.392231,-0.127614,0.636351,-27.5471
1,215,0.240871,0.102802,1.26009,-14.7977
2,215,0.294861,0.0977066,1.80683,-9.26118
3,215,0.188961,-0.00230642,1.61496,-5.80843
4,215,0.527435,0.344742,2.08981,3.62059
5,215,0.183451,-0.0588074,1.5702,-0.925453
6,215,0.222726,-0.0856099,2.63884,-5.2632
7,215,0.119434,0.0154154,0.981924,-10.4419
8,215,0.445352,0.240506,2.43062,0.365957
9,215,0.132102,-0.0140461,1.16337,-8.22602
10,215,0.215907,0.0360042,1.19663,-2.01606
1,221,-0.451182,0.0846773,-0.869717,7.26879
2,221,-0.855452,-0.0566197,-1.49193,-19.2022
3,221,-0.216024,0.0178233,-0.802494,10.6983
4,221,0.488526,-0.087978,0.737516,15.551
5,221,-0.731897,0.426747,-1.90301,-15.0691
6,221,0.0970184,0.0949125,-0.531255,11.5131
7,221,-0.0497538,0.0888103,-0.547446,10.6983
8,221,0.238139,0.0552153,-0.405642,12.6977
9,221,-0.948394,-0.350752,-1.25158,-21.1999
10,221,-0.00488732,0.107692,-0.428936,10.679
1,222,-0.0492041,-0.0395131,0.250954,18.547
2,222,-0.322576,-0.211446,0.0740816,14.5426
3,222,-0.261316,0.236777,-0.59368,16.1117
4,222,-0.171437,0.232963,-0.133671,11.9257
5,222,-0.736151,0.0135853,-0.868847,13.6318
6,222,-0.382548,-0.0228899,-0.165689,23.0961
7,222,-0.409043,-0.0134553,-0.605801,16.1416
