parameter,value,CV
k2_pop,0.156801778147382,
alpha2_pop,12.9669451491319,
d3_pop,49.1565841314906,
alpha3_pop,4.96202716940259e-05,
omega_k2,0.417997129681976,43.6937776266913
omega_alpha2,0.180907589059361,18.2397896711173
omega_d3,1.04545619118907,140.824237781499
omega_alpha3,13.6479176516811,2.7994539876981e+42
a1,1.54903693153436,
b1,0.258784747550954,
a2,0.493468468076466,
b2,2.22044604925031e-16,
a3,1.39759190480613,
b3,0.19188421552058,
a4,1.57382925346544,
b4,0.242856943910436,
