rep,id,k1_hat,alpha1,beta,db,ER0,E2ER0
1,111,0.0742837,0.510908,0.0573152,0.0468532,0.0454214,1.71191
2,111,0.0485866,0.433956,0.0435686,0.128185,7.1581,0.0069149
3,111,0.070092,0.443328,0.0065656,0.071724,3.64268,0.00264935
4,111,0.0708157,0.275632,0.0541667,0.128682,0.000533169,0.00150354
5,111,0.0755562,0.411487,0.0178061,0.0474565,0.00330794,1.69724
6,111,0.0438295,0.33865,0.0843065,0.0918291,24.5021,0.00080279
7,111,0.045456,0.25678,0.0905141,0.381374,0.00323393,1.28908
8,111,0.0615951,0.260622,0.0343164,0.0640478,1.91348,0.034369
9,111,0.066641,0.317752,0.0186651,0.33478,0.0770728,0.683451
10,111,0.0550696,0.230162,0.00174037,0.895513,1.55591,0.000115629
1,112,0.0384465,0.461181,5.18029,0.0198779,0.00268258,0.530099
2,112,0.0411364,0.712181,11.3692,0.0462148,0.000158166,4.40757e-06
3,112,0.0392079,0.42592,3.04088,0.107329,0.000189557,0.000897345
4,112,0.0371148,0.268024,2.54834,0.0582862,0.014766,0.122147
5,112,0.0396902,0.35338,8.3742,0.02554,0.126099,9.90448e-07
6,112,0.0432706,0.401067,6.93655,0.018515,3.042e-06,8.17224e-07
7,112,0.0406559,0.290639,1.59976,0.0751319,0.119668,0.000167622
8,112,0.0374175,0.370621,57.528,0.00700478,0.00369658,2.74312e-06
9,112,0.0390076,0.379017,21.0509,0.00626908,0.00222183,2.96449e-05
10,112,0.0389538,0.278008,3.86658,0.0626169,0.000235658,0.97512
1,113,0.0578536,0.501036,0.795927,0.0845436,0.142966,0.00014471
2,113,0.0572598,0.616272,0.629447,0.168706,0.00623189,3.39903e-06
3,113,0.0551091,0.253234,1.46212,0.0248039,0.00248365,7.75942e-06
4,113,0.0492419,0.616083,37.6073,0.0183898,0.165213,7.48492e-08
5,113,0.0525813,0.419372,7.60946,0.0399948,0.00282424,0.0305389
6,113,0.0628412,0.379111,0.428691,0.0616311,2.01891e-06,1.00683e-07
7,113,0.0488808,0.167355,6.14972,0.0175296,8.79051e-06,0.0093886
8,113,0.0492432,0.362181,145.195,0.0158741,0.4171,0.0400971
9,113,0.0501132,0.205152,1.65029,0.0906678,0.354109,0.0056146
10,113,0.050217,0.349752,14.9612,0.0223685,0.00131722,0.0141872
1,114,0.0383487,0.2962,5.72435,0.116394,0.00465825,0.00053633
2,114,0.0410496,0.352239,4.82488,0.0411398,2.64653e-05,0.0104802
3,114,0.0440049,0.438392,4.07346,0.022827,0.11945,0.0411559
4,114,0.0395099,0.700884,18.3874,0.0275564,0.328972,1.51115e-08
5,114,0.0404775,0.524165,19.0191,0.0512238,0.0414896,0.000110787
6,114,0.039679,0.208491,12.5796,0.0566521,0.152742,0.0703654
7,114,0.0435691,0.391491,1.04316,0.121382,0.002517,0.00247985
8,114,0.0424853,0.503,14.8078,0.0119358,2.80871e-05,0.000298677
9,114,0.0420282,0.242963,1.66357,0.0289144,3.5651e-06,0.00294115
10,114,0.0429717,0.536708,2.22682,0.0500185,0.000423671,4.91643e-05
1,115,0.0346895,0.261411,24.9477,0.0388847,0.0933232,0.0704984
2,115,0.0362348,0.171812,0.558839,0.0785555,2.34386e-06,2.85031e-06
3,115,0.0462608,0.583702,1.42742,0.0196138,0.000894937,0.00933748
4,115,0.0384471,0.419645,2.54178,0.0341938,0.00289483,0.000481187
5,115,0.0397859,0.711192,5.9311,0.013337,0.00257881,0.000205009
6,115,0.0338114,0.247211,2.22027,0.0685377,0.598396,0.00012327
7,115,0.0334068,0.60777,15.1688,0.110197,7.64825e-05,1.54336e-05
8,115,0.0345114,0.257288,11.3861,0.0162448,0.000128105,0.000105059
9,115,0.0346291,0.321366,1.85038,0.10882,0.246231,1.42648e-05
10,115,0.0370214,0.183237,1.5742,0.0288239,1.45593e-05,0.00477844
1,121,0.0467892,0.269731,0.289895,0.0287771,0.0027844,9.08268e-06
2,121,0.0338935,0.324367,1.24619,0.0294238,8.94771e-06,0.0108743
3,121,0.0262496,0.22826,3.56258,0.187942,7.90776e-05,1.34531
4,121,0.0263083,0.149389,32.3375,0.106768,72.9904,0.00500777
5,121,0.0286241,0.259323,5.47398,0.0248959,0.204036,5.93744
6,121,0.0398469,0.354374,0.418036,0.0459092,0.00316638,0.15642
7,121,0.0367891,0.647936,3.82936,0.0104961,2.08881,0.0026446
8,121,0.0362453,0.430991,1.04727,0.0221798,0.000542294,0.165932
9,121,0.050116,0.438361,0.271144,0.0399183,0.0130516,0.00137777
10,121,0.0420083,0.330616,0.212339,0.0518782,1.84269e-05,1.59231e-06
1,122,0.0367524,0.133915,1.92026,0.00301334,0.000458814,1.02386e-05
2,122,0.0254556,0.323384,137.633,0.245268,0.0470639,0.141484
3,122,0.0282564,0.409009,2.83122,0.047215,0.0181886,0.000505387
4,122,0.035918,0.678851,2.73548,0.0201202,0.0209796,5.27635e-07
5,122,0.0273761,0.197841,6.6716,0.0444182,0.165328,0.03449
6,122,0.030687,0.353164,5.98919,0.0128047,0.213872,0.000289046
7,122,0.0258589,0.189488,0.688207,0.135932,0.0823305,0.00291792
8,122,0.0472511,0.286935,1.09535,0.0054332,9.07529e-05,7.49914e-06
9,122,0.0299192,0.595749,6.60178,0.0320871,0.000209038,3.76018e-06
10,122,0.0304912,0.367564,1.32961,0.0377058,0.0012638,0.000466499
1,123,0.0313058,0.356548,36.9519,0.223262,8.45418e-05,1.1569e-08
2,123,0.0443748,0.353716,1.46026,0.00997665,1.75862,0.000174037
3,123,0.0315695,0.250356,16.9122,0.0470396,0.153508,0.00433701
4,123,0.0320188,1.01141,43.4878,0.0181182,0.020973,1.91002e-05
5,123,0.0316254,0.467586,23.7638,0.0128719,2.26973,0.00453513
6,123,0.0417695,0.277652,2.25183,0.00684365,0.023313,0.000270498
7,123,0.0318575,0.3526,9.80817,0.0535876,0.119642,0.0816668
