rep,id,eta_k1_hat,eta_alpha1,eta_beta,eta_db,eta_ER0,eta_E2ER0
1,111,0.559151,0.358771,-4.35637,0.186181,2.0843,8.01995
2,111,0.134607,0.195526,-4.6306,1.19264,7.14431,2.50827
3,111,0.501069,0.216892,-6.52309,0.611987,6.46879,1.5489
4,111,0.51134,-0.258351,-4.41287,1.19651,-2.36061,0.982413
5,111,0.576137,0.142359,-5.5254,0.198974,-0.535362,8.01135
6,111,0.0315665,-0.052451,-3.97048,0.85909,8.37483,0.354926
7,111,0.0680037,-0.329197,-3.89943,2.28294,-0.557991,7.73627
8,111,0.371842,-0.314348,-4.86931,0.498791,5.82499,4.11175
9,111,0.45058,-0.116146,-5.47828,2.15263,2.61306,7.10174
10,111,0.259857,-0.438634,-7.85084,3.13656,5.61813,-1.58278
1,112,-0.0994724,0.256372,0.147681,-0.671228,-0.744908,6.84765
2,112,-0.0318468,0.690915,0.933727,0.172462,-3.5758,-4.84984
3,112,-0.0798615,0.176835,-0.385033,1.01506,-3.39475,0.466274
4,112,-0.134724,-0.286343,-0.561737,0.404526,0.960642,5.37981
5,112,-0.0676358,-0.00987497,0.627975,-0.420593,3.10538,-6.34276
6,112,0.0187328,0.116711,0.439624,-0.742255,-7.52693,-6.53501
7,112,-0.0435964,-0.205335,-1.02733,0.658406,3.05304,-1.21145
8,112,-0.126603,0.037763,2.55509,-1.71425,-0.424281,-5.32407
9,112,-0.0849832,0.0601634,1.54977,-1.82521,-0.933357,-2.94387
10,112,-0.0863653,-0.249767,-0.14481,0.476196,-3.17706,7.45715
1,113,0.309176,0.33926,-1.72543,0.776428,3.23092,-1.35843
2,113,0.298858,0.546271,-1.96009,1.46732,0.0979903,-5.10968
3,113,0.260574,-0.343104,-1.1173,-0.44984,-0.821958,-4.28426
4,113,0.148005,0.545964,2.13002,-0.749043,3.37555,-8.92545
5,113,0.21362,0.16134,0.532212,0.0279097,-0.69345,3.99359
6,113,0.391871,0.0604109,-2.3442,0.460328,-7.93688,-8.62894
7,113,0.140643,-0.757298,0.319227,-0.796949,-6.46577,2.81409
8,113,0.148032,0.0147261,3.4809,-0.896151,4.30164,4.26589
9,113,0.165544,-0.553665,-0.99623,0.846363,4.13792,2.29996
10,113,0.167614,-0.0201924,1.20828,-0.553183,-1.45616,3.22693
1,114,-0.10202,-0.186382,0.247549,1.09614,-0.193048,-0.0484159
2,114,-0.0339601,-0.0131081,0.0766056,0.0561379,-5.36361,2.92408
3,114,0.0355597,0.205695,-0.0926879,-0.532894,3.05121,4.29196
4,114,-0.0721896,0.674924,1.41448,-0.344602,4.06428,-10.5255
5,114,-0.0479935,0.384388,1.44826,0.275366,1.99376,-1.62556
6,114,-0.0679193,-0.537522,1.0349,0.376089,3.29706,4.82829
7,114,0.0256083,0.0925439,-1.45493,1.1381,-0.80862,1.48279
