parameter,value,CV,se_sa,rse_sa,P2.5_sa,P97.5_sa
k1_hat_pop,0.0424675675695158,,0.0105471784657682,24.8358431372445,0.0266355,0.0677101
alpha1_pop,0.356886475638902,,1252.84149227238,351047.62376594,0.00131968,96.5143
beta_pop,4.46906884851351,,6.66487542661515e+31,1.4913342471401e+33,2.74527e-07,7.27527e+07
db_pop,0.0388939588025009,,3.72197125250423e+41,9.5695356479498e+44,1.32415e-10,1.14242e+07
ER0_pop,0.00565018797593418,,nan,nan,nan,nan
E2ER0_pop,0.000562936090397432,,inf,inf,3.37593e-20,9.38694e+12
omega_k1_hat,0.341466736923946,35.1666527319499,0.220659235613679,64.6210045527292,0.122081,0.955099
omega_alpha1,0.413053309830675,43.131393385924,5.70059775277721,1380.11186863848,0.0168844,10.1048
omega_beta,2.33790555765871,1534.48857316622,nan,nan,nan,nan
omega_db,1.11025914142298,155.897235879914,3.71195340662161,334.332163378013,0.113301,10.8796
omega_ER0,4.08051359666485,412695.686141205,37.0314662255626,907.519736138846,0.214242,77.7186
omega_E2ER0,4.08767143522821,424938.205915214,8.00331814838881,195.791620613509,0.620887,26.9116
a1,0.844922327158889,,0.181392750498542,21.4685710943973,0.562222,1.26977
b1,0.455814594930086,,0.127682352654342,28.0119052953814,0.270811,0.767204
a2,1.19547576625237e-05,,nan,nan,nan,nan
b2,0.800717870032595,,0.713273713902894,89.0792800557653,0.224919,2.85057
